month,escola,slug,tutores,second_tutor,docs_fiscais (15_dias),mensagens (7_dias),atividades (7_dias),relatorios_diarios (7_dias),avaliacoes (7_dias),menus (7_dias),eventos (15_dias)
Mar,SCM de Porto de Mós,https://santacasa-portodemos.educabiz.com,132.0,16.0,0.0,6.0,10.0,378.0,2374.0,0.0,0.0
Mar,PATRONATO SÃO SEBASTIÃO,https://up-ssebastiao-spaio.educabiz.com,167.0,24.0,0.0,638.0,21.0,328.0,2485.0,0.0,1.0
Mar,Instituto Santa Catarina,https://iscatarina.educabiz.com,67.0,3.0,0.0,326.0,0.0,215.0,1120.0,2.0,0.0
Mar,Judo Clube da Póvoa,https://judoclubedapovoa.educabiz.com,33.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0
Mar,"AJDS-EducaInvest, Lda.",https://ajds.educabiz.com,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
Mar,S.C.M. Vale de Cambra,https://scmvcambra.educabiz.com,202.0,18.0,0.0,505.0,14.0,436.0,2853.0,0.0,5.0
Mar,CAPP,https://capp.educabiz.com,129.0,26.0,0.0,587.0,3.0,280.0,1761.0,0.0,6.0
Mar,MACUR,https://macur.educabiz.com,117.0,20.0,0.0,900.0,12.0,183.0,1967.0,0.0,1.0
Mar,Nuclisol - Vila Real,https://nuclisolvilareal.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mar,Centro Social Paroquial Imaculado Coração de Maria,https://cspicm.educabiz.com,75.0,7.0,0.0,340.0,1.0,182.0,1587.0,4.0,0.0
Mar,A. P. S. P. BAIRRO DO ALEIXO,https://apspbairroaleixo.educabiz.com,14.0,0.0,78.0,44.0,8.0,62.0,380.0,0.0,4.0
Mar,O Canto Dos Reguilas,https://cantodosreguilas.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mar,Colégio Educa A Brincar,https://educabrincar.educabiz.com,210.0,54.0,243.0,1152.0,10.0,24.0,281.0,0.0,21.0
Mar,Centro Paroquial de Seia,https://cpseia.educabiz.com,194.0,25.0,0.0,291.0,22.0,447.0,2874.0,0.0,6.0
Mar,CAF Pinto de Carvalho,https://cafpintodecarvalho.educabiz.com,171.0,13.0,0.0,1098.0,6.0,504.0,3076.0,0.0,0.0
